# Yale Bright Star Catalog v5 / BSC5, J2000.0 equatorial coordinates.
# Runtime subset keeps stars with visual magnitude V <= 6.70.
# Source conversion: https://github.com/brettonw/YaleBrightStarCatalog
# Original catalog: http://tdc-www.harvard.edu/catalogs/bsc5.html
# Columns: ra_deg,dec_deg,visual_magnitude,color_temperature_k
ra_deg,dec_deg,visual_magnitude,color_temperature_k
1.291250,45.229167,6.70,9750
8.111667,43.494722,6.70,9750
24.708333,-25.021944,6.70,12000
34.389167,44.306944,6.70,2450
70.896250,-8.796111,6.70,5200
83.822083,-5.387778,6.70,30000
88.198750,-38.525833,6.70,4850
124.552500,-37.374167,6.70,10000
127.365000,-27.332500,6.70,22000
144.669583,-39.614167,6.70,6750
149.929583,3.384722,6.70,7500
150.922500,-25.316667,6.70,10000
246.448750,18.892500,6.70,2450
291.602500,-14.551111,6.70,9750
313.592917,40.703056,6.70,14000
323.112917,23.394444,6.70,12000
9.991250,-33.961667,6.69,6300
13.222500,38.548611,6.69,9500
88.489167,-19.638333,6.69,9000
127.623333,-36.721111,6.69,3200
213.365417,51.787778,6.69,7350
255.875833,35.414167,6.69,2900
277.521250,4.065278,6.69,26000
285.263333,-37.060833,6.69,12000
285.344167,20.833611,6.69,26000
350.947917,32.531389,6.69,6900
112.857500,-36.152778,6.68,22000
169.429167,-36.534444,6.68,5200
199.106250,-1.390556,6.68,7350
203.252917,-7.195000,6.68,2450
228.181250,19.285833,6.68,5500
266.493750,39.322500,6.68,4550
267.513750,48.394167,6.68,20000
277.972083,-19.125000,6.68,5900
289.503333,31.022222,6.68,9250
294.033333,11.150000,6.68,9250
317.633333,22.454722,6.68,9750
345.988750,-4.795278,6.68,6300
8.143750,27.580556,6.67,9500
77.922500,0.514722,6.67,12000
93.988333,-29.788333,6.67,4400
95.844583,-4.687222,6.67,9500
127.222083,-20.950278,6.67,14000
133.873333,-7.971111,6.67,9500
141.093750,36.586944,6.67,7500
161.908333,-15.261944,6.67,10000
168.990833,12.844722,6.67,7750
226.448750,-25.789722,6.67,14000
293.666250,48.164722,6.67,7750
76.054167,73.763889,6.66,5000
75.141250,3.616111,6.66,12000
78.945833,-34.926667,6.66,9500
91.716250,-11.173611,6.66,24000
96.326667,1.501111,6.66,12000
