hostname,pl_name,sy_dist,ra,dec,st_mass,st_rad,st_teff,pl_orbsmax,pl_orbper,pl_orbeccen,pl_orbincl,pl_orblper,pl_bmasse,pl_rade
"HD 2039","HD 2039 b",85.69220000,6.0851069,-56.6499880,1.230000,1.190000,5945.00,2.2000000000,1120.00000000000,0.710000,,344.1000,1999.15070000,12.70000000
"HAT-P-8","HAT-P-8 b",211.55300000,343.0414932,35.4471778,1.270000,1.570000,6200.00,0.0449600000,3.07634000000,0.000000,87.80000,116.0000,406.82240000,15.69260000
"K2-43","K2-43 b",182.53600000,169.1170280,-3.9754405,0.571000,0.542000,3840.60,0.0378400000,3.47114900000,0.070000,89.60000,-25.1100,18.50000000,4.51000000
"Kepler-1753","Kepler-1753 b",707.68800000,288.2366640,46.6058744,0.860000,0.769000,5180.00,0.1179000000,16.00460052000,0.000000,89.00000,,5.59000000,2.22678077
"Kepler-1176","Kepler-1176 b",864.69900000,297.9197240,45.2742038,1.010000,1.020000,5844.00,0.1589000000,24.17385790000,0.000000,89.76000,,6.57000000,2.45000000
"K2-126","K2-126 b",102.95300000,203.5467021,-13.5769705,0.690000,0.650000,4339.00,0.0656000000,7.38565500000,0.060000,89.40000,-33.7200,4.54000000,1.97000000
"Kepler-1263","Kepler-1263 b",664.83000000,286.4836260,46.7526182,0.840000,0.800000,5213.00,0.0499000000,4.55139967000,0.000000,88.98000,,1.55000000,1.14000000
"Kepler-1416","Kepler-1416 b",949.59000000,298.6634624,43.8940593,1.090000,1.150000,6019.00,0.0257000000,1.49514952000,0.000000,42.38000,,0.61500000,0.88000000
"Kepler-1542","Kepler-1542 c",399.11400000,285.7284757,42.6544651,0.940000,0.990000,5564.00,0.0387000000,2.89223021000,0.000000,89.89000,,0.20800000,0.65000000
"K2-85","K2-85 b",97.21790000,59.4648290,18.4649505,0.700000,0.710000,4232.00,0.0130000000,0.68453862616,0.240000,80.21000,67.5900,3.20000000,1.40000000
"Kepler-368","Kepler-368 c",770.97800000,291.8800180,45.3878419,1.165000,2.019000,5502.00,0.3600000000,72.37933400000,0.000000,88.95000,,14.30000000,3.88000000
"K2-123","K2-123 b",161.55500000,134.4441404,21.4532748,0.620000,0.590000,4035.00,0.1649000000,30.95152400000,0.060000,89.79000,-33.5300,8.05000000,2.76000000
"Kepler-770","Kepler-770 b",930.45700000,286.4904589,38.3748720,0.940000,0.920000,5598.00,0.1694000000,18.92540274000,0.000000,88.00000,,5.90000000,2.30000000
