kind	body	path	url	status	bytes
license	Ariel	images/Ariel/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ariel/LICENSE-diffuse	206	284
license	Ariel	images/Ariel/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ariel/LICENSE-normal	206	284
diffuse-map	Ariel	images/Ariel/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ariel/diffuse.jpg	206	1528606
normal-map	Ariel	images/Ariel/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ariel/normal.png	206	44811128
license	Callisto	images/Callisto/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Callisto/LICENSE-diffuse	206	167
license	Callisto	images/Callisto/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Callisto/LICENSE-normal	206	167
diffuse-map	Callisto	images/Callisto/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Callisto/diffuse.jpg	206	14125227
normal-map	Callisto	images/Callisto/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Callisto/normal.jpg	206	8302904
license	Ceres	images/Ceres/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ceres/LICENSE-diffuse	206	483
license	Ceres	images/Ceres/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ceres/LICENSE-normal	206	309
diffuse-map	Ceres	images/Ceres/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ceres/diffuse.jpg	206	15170284
normal-map	Ceres	images/Ceres/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ceres/normal.jpg	206	21493466
license	Charon	images/Charon/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Charon/LICENSE-diffuse	206	125
