kind	body	path	url
debris-data	Earth	debris/Earth	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/debris/Earth
debris-data	Sun	debris/Sun.1	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/debris/Sun.1
debris-data	Sun	debris/Sun.2	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/debris/Sun.2
data		definition.json	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/definition.json
license	Ariel	images/Ariel/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ariel/LICENSE-diffuse
license	Ariel	images/Ariel/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ariel/LICENSE-normal
diffuse-map	Ariel	images/Ariel/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ariel/diffuse.jpg
normal-map	Ariel	images/Ariel/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ariel/normal.png
license	Callisto	images/Callisto/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Callisto/LICENSE-diffuse
license	Callisto	images/Callisto/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Callisto/LICENSE-normal
diffuse-map	Callisto	images/Callisto/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Callisto/diffuse.jpg
normal-map	Callisto	images/Callisto/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Callisto/normal.jpg
license	Ceres	images/Ceres/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ceres/LICENSE-diffuse
license	Ceres	images/Ceres/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ceres/LICENSE-normal
diffuse-map	Ceres	images/Ceres/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ceres/diffuse.jpg
normal-map	Ceres	images/Ceres/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ceres/normal.jpg
license	Charon	images/Charon/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Charon/LICENSE-diffuse
license	Charon	images/Charon/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Charon/LICENSE-normal
diffuse-map	Charon	images/Charon/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Charon/diffuse.png
normal-map	Charon	images/Charon/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Charon/normal.png
license	Deimos	images/Deimos/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Deimos/LICENSE-diffuse
license	Deimos	images/Deimos/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Deimos/LICENSE-normal
diffuse-map	Deimos	images/Deimos/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Deimos/diffuse.png
normal-map	Deimos	images/Deimos/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Deimos/normal.png
license	Dione	images/Dione/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Dione/LICENSE-diffuse
license	Dione	images/Dione/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Dione/LICENSE-normal
diffuse-map	Dione	images/Dione/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Dione/diffuse.jpg
normal-map	Dione	images/Dione/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Dione/normal.png
license	Earth	images/Earth/LICENSE-clouds	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Earth/LICENSE-clouds
license	Earth	images/Earth/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Earth/LICENSE-diffuse
license	Earth	images/Earth/LICENSE-night	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Earth/LICENSE-night
license	Earth	images/Earth/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Earth/LICENSE-normal
license	Earth	images/Earth/LICENSE-specular	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Earth/LICENSE-specular
cloud-map	Earth	images/Earth/clouds.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Earth/clouds.jpg
diffuse-map	Earth	images/Earth/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Earth/diffuse.jpg
night-map	Earth	images/Earth/night.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Earth/night.jpg
normal-map	Earth	images/Earth/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Earth/normal.jpg
specular-map	Earth	images/Earth/specular.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Earth/specular.jpg
license	Enceladus	images/Enceladus/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Enceladus/LICENSE-diffuse
license	Enceladus	images/Enceladus/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Enceladus/LICENSE-normal
diffuse-map	Enceladus	images/Enceladus/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Enceladus/diffuse.jpg
normal-map	Enceladus	images/Enceladus/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Enceladus/normal.jpg
license	Eris	images/Eris/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Eris/LICENSE-diffuse
license	Eris	images/Eris/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Eris/LICENSE-normal
diffuse-map	Eris	images/Eris/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Eris/diffuse.jpg
normal-map	Eris	images/Eris/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Eris/normal.jpg
license	Europa	images/Europa/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Europa/LICENSE-diffuse
license	Europa	images/Europa/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Europa/LICENSE-normal
diffuse-map	Europa	images/Europa/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Europa/diffuse.jpg
normal-map	Europa	images/Europa/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Europa/normal.jpg
license	Ganymede	images/Ganymede/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ganymede/LICENSE-diffuse
license	Ganymede	images/Ganymede/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ganymede/LICENSE-normal
diffuse-map	Ganymede	images/Ganymede/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ganymede/diffuse.png
normal-map	Ganymede	images/Ganymede/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ganymede/normal.jpg
license	Haumea	images/Haumea/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Haumea/LICENSE-diffuse
license	Haumea	images/Haumea/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Haumea/LICENSE-normal
diffuse-map	Haumea	images/Haumea/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Haumea/diffuse.png
normal-map	Haumea	images/Haumea/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Haumea/normal.png
license	Hyperion	images/Hyperion/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Hyperion/LICENSE-diffuse
diffuse-map	Hyperion	images/Hyperion/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Hyperion/diffuse.png
license	Iapetus	images/Iapetus/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Iapetus/LICENSE-diffuse
license	Iapetus	images/Iapetus/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Iapetus/LICENSE-normal
diffuse-map	Iapetus	images/Iapetus/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Iapetus/diffuse.jpg
height-map	Iapetus	images/Iapetus/iapetus_elevation_map_by_oleg_pluton_dciddid.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Iapetus/iapetus_elevation_map_by_oleg_pluton_dciddid.png
normal-map	Iapetus	images/Iapetus/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Iapetus/normal.png
license	Io	images/Io/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Io/LICENSE-diffuse
license	Io	images/Io/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Io/LICENSE-normal
diffuse-map	Io	images/Io/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Io/diffuse.png
normal-map	Io	images/Io/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Io/normal.png
license	Juno	images/Juno/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Juno/LICENSE-diffuse
license	Juno	images/Juno/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Juno/LICENSE-normal
diffuse-map	Juno	images/Juno/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Juno/diffuse.jpg
normal-map	Juno	images/Juno/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Juno/normal.jpg
license	Jupiter	images/Jupiter/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Jupiter/LICENSE-diffuse
diffuse-map	Jupiter	images/Jupiter/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Jupiter/diffuse.png
license	Makemake	images/Makemake/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Makemake/LICENSE-diffuse
license	Makemake	images/Makemake/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Makemake/LICENSE-normal
diffuse-map	Makemake	images/Makemake/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Makemake/diffuse.png
normal-map	Makemake	images/Makemake/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Makemake/normal.png
license	Mars	images/Mars/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mars/LICENSE-diffuse
license	Mars	images/Mars/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mars/LICENSE-normal
diffuse-map	Mars	images/Mars/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mars/diffuse.png
normal-map	Mars	images/Mars/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mars/normal.png
license	Mercury	images/Mercury/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mercury/LICENSE-diffuse
license	Mercury	images/Mercury/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mercury/LICENSE-normal
diffuse-map	Mercury	images/Mercury/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Mercury/diffuse.jpg
