body	type	dataset	role	format	url	status	bytes
67P/Churyumov–Gerasimenko	comet	Rosetta Shape Models of Comet 67P/C-G	primary	WRL	https://pdssbn.astro.umd.edu/holdings/ro-c-multi-5-67p-shape-v2.0/data/triplate/mspcd_lam/shap2/cg_mspcd_shap2_001m_cart.wrl	206	161131312
67P/Churyumov–Gerasimenko	comet	Rosetta Shape Models of Comet 67P/C-G	derived	OBJ	https://sbn.psi.edu/pds/shape-models/files/67P/cg_mspcd_shap2_001m_cart.obj	206	49412414
67P/Churyumov–Gerasimenko	comet	Rosetta Shape Models of Comet 67P/C-G	preview	PNG	https://sbn.psi.edu/pds/shape-models/previews/67p.png	206	144648
67P/Churyumov–Gerasimenko	comet	Rosetta Shape Models of Comet 67P/C-G	preview-ar	USDZ	https://sbn.psi.edu/pds/shape-models/files/67P/cg_mspcd_shap2_001m_cart.usdz	206	19759211
81P/Wild 2	comet	Satdust NAVCAM 81P/Wild 2 Shape Model	primary	TAB	https://pdssbn.astro.umd.edu/holdings/sdu-c-navcam-5-wild2-shape-model-v2.1/data/wild2_cart_full.tab	206	1392840
81P/Wild 2	comet	Satdust NAVCAM 81P/Wild 2 Shape Model	derived	OBJ	https://sbn.psi.edu/pds/shape-models/files/wild2/wild2_cart_full.tab.obj	206	568582
81P/Wild 2	comet	Satdust NAVCAM 81P/Wild 2 Shape Model	preview	PNG	https://sbn.psi.edu/pds/shape-models/previews/wild2.png	206	131671
81P/Wild 2	comet	Satdust NAVCAM 81P/Wild 2 Shape Model	preview-ar	USDZ	https://sbn.psi.edu/pds/shape-models/files/wild2/wild2_cart_full.tab.usdz	206	186207
103P/Hartley 2	comet	Shape Model of Hartley 2	primary	WRL	https://pdssbn.astro.umd.edu/holdings/dif-c-hriv_mri-5-hartley2-shape-v1.0/data/hartley2_2012_cart.wrl	206	3814120
103P/Hartley 2	comet	Shape Model of Hartley 2	derived	OBJ	https://sbn.psi.edu/pds/shape-models/files/hartley2/hartley2_2012_cart.obj	206	1062351
103P/Hartley 2	comet	Shape Model of Hartley 2	preview	PNG	https://sbn.psi.edu/pds/shape-models/previews/hartley2_2012_cart.png	206	70144
103P/Hartley 2	comet	Shape Model of Hartley 2	preview-ar	USDZ	https://sbn.psi.edu/pds/shape-models/files/hartley2/hartley2_2012_cart.usdz	206	259128
9P/Tempel 1	comet	Deep Impact/Stardust-NExT Derived Shape Model	primary	WRL	https://pdssbn.astro.umd.edu/holdings/dif-c-hriv_its_mri-5-tempel1-shape-v2.0/data/tempel1_2012_cart.wrl	206	3871120
9P/Tempel 1	comet	Deep Impact/Stardust-NExT Derived Shape Model	derived	OBJ	https://sbn.psi.edu/pds/shape-models/files/tempel1/tempel1_2012_cart.obj	206	2625388
9P/Tempel 1	comet	Deep Impact/Stardust-NExT Derived Shape Model	preview	PNG	https://sbn.psi.edu/pds/shape-models/previews/tempel1_2012_cart.png	206	97826
9P/Tempel 1	comet	Deep Impact/Stardust-NExT Derived Shape Model	preview-ar	USDZ	https://sbn.psi.edu/pds/previews/tempel1/tempel1_2012_cart.usdz	404	
1P/Halley 1	comet	Stooke Small Body Shape Models	primary	TAB	https://sbnarchive.psi.edu/pds3/non_mission/EAR_A_5_DDR_STOOKE_SHAPE_MODELS_V2_0/data/1682q1halley.tab	206	70226
1998 KY26	asteroid	Stooke Small Body Shape Models	primary	TAB	https://sbnarchive.psi.edu/pds3/non_mission/EAR_A_5_DDR_RADARSHAPE_MODELS_V2_0/data/1998ky26.tab	206	294720
1998 KY26	asteroid	Stooke Small Body Shape Models	derived	OBJ	https://sbn.psi.edu/pds/shape-models/files/RADAR/1998ky26.tab.obj	206	294720
1998 KY26	asteroid	Stooke Small Body Shape Models	preview	PNG	https://sbn.psi.edu/pds/shape-models/previews/1998ky26.png	206	73494
1998 KY26	asteroid	Stooke Small Body Shape Models	preview-ar	USDZ	https://sbn.psi.edu/pds/RADAR/1998ky26.tab.usdz	404	
99942 Apophis	asteroid	Radar shape model of asteroid (99942) Apophis	primary	OBJ	https://sbnarchive.psi.edu/pds4/non_mission/gbo.ast-apophis.jpl.radar.shape_model_v1.0/data/apophis_v233s7.obj	206	197868
99942 Apophis	asteroid	Radar shape model of asteroid (99942) Apophis	preview	PNG	https://sbn.psi.edu/pds/shape-models/previews/99942apophis.png	206	712460
486958 Arrokoth	asteroid	New Horizons Porter (2024) Arrokoth Shape Model Collection	primary	OBJ	https://pdssbn.astro.umd.edu/holdings/pds4-nh_derived:arrokoth_shapemodel_porter2024-v1.0/arrokoth_porter_2024_v01.obj	206	3686921
486958 Arrokoth	asteroid	New Horizons Porter (2024) Arrokoth Shape Model Collection	preview	PNG	https://sbn.psi.edu/pds/shape-models/previews/arrokoth.porter_2024.png	206	392684
486958 Arrokoth	asteroid	New Horizons Arrokoth Encounter Geology and Geophysical Maps and Shape Models	primary	OBJ	https://pdssbn.astro.umd.edu/holdings/nh-a-lorri_mvic-5-geophys-v1.0/data/shape_models/mu69_merged.obj	206	9066288
486958 Arrokoth	asteroid	New Horizons Arrokoth Encounter Geology and Geophysical Maps and Shape Models	preview	PNG	https://sbn.psi.edu/pds/shape-models/previews/mu69_merged.png	206	311748
Asteroid 153591	asteroid	Shape Model of Asteroid (153591) 2001 SN263	primary	TAB	https://sbnarchive.psi.edu/pds3/non_mission/EAR_A_I0037_5_SHAPE153591_V1_0/data/a153591alpha.tab	206	144480
Asteroid 153591	asteroid	Shape Model of Asteroid (153591) 2001 SN263	derived	OBJ	https://sbn.psi.edu/pds/shape-models/files/a153591/a153591alpha.tab.obj	206	144480
Asteroid 153591	asteroid	Shape Model of Asteroid (153591) 2001 SN263	preview	PNG	https://sbn.psi.edu/pds/shape-models/previews/a153591.png	206	72625
Asteroid 153591	asteroid	Shape Model of Asteroid (153591) 2001 SN263	preview-ar	USDZ	https://sbn.psi.edu/pds/a153591/a153591alpha.tab.usdz	404	
Asteroid 52760	asteroid	Shape Model of Asteroid (153591) 2001 SN263	primary	TAB	https://sbnarchive.psi.edu/pds3/non_mission/EAR_A_5_DDR_RADARSHAPE_MODELS_V2_0/data/52760.tab	206	1175136
Asteroid 52760	asteroid	Shape Model of Asteroid (153591) 2001 SN263	derived	OBJ	https://sbn.psi.edu/pds/shape-models/files/RADAR/52760.tab.obj	206	1175136
Asteroid 52760	asteroid	Shape Model of Asteroid (153591) 2001 SN263	preview	PNG	https://sbn.psi.edu/pds/shape-models/previews/52760.png	206	97291
Asteroid 52760	asteroid	Shape Model of Asteroid (153591) 2001 SN263	preview-ar	USDZ	https://sbn.psi.edu/pds/shape-models/files/RADAR/52760.tab.usdz	206	192393
Asteroid 8567	asteroid	Shape and Rotation of (8567) 1996 HW1	primary	TAB	https://sbnarchive.psi.edu/pds3/non_mission/EAR_A_I0037_5_SHAPE8567_V1_0/data/a8567.tab	206	175224
Asteroid 8567	asteroid	Shape and Rotation of (8567) 1996 HW1	derived	OBJ	https://sbn.psi.edu/pds/shape-models/files/a8567/a8567.tab.obj	206	175224
Asteroid 8567	asteroid	Shape and Rotation of (8567) 1996 HW1	preview	PNG	https://sbn.psi.edu/pds/shape-models/previews/asteroid_8567.png	206	67205
Asteroid 8567	asteroid	Shape and Rotation of (8567) 1996 HW1	preview-ar	USDZ	https://sbn.psi.edu/pds/shape-models/files/a8567/a8567.tab.usdz	206	25268
1 Ceres	asteroid	Dawn Shape Models of Ceres	primary	ICQ	https://sbnarchive.psi.edu/pds3/dawn/fc/DWNCSPC_4_01/DATA/ICQ/CERES_SPC181019_1024.ICQ	206	390832562
